book_id,title,subtitle,cover_image_url,abstract,CommunityReview,page_count,published_date,Genre
18300212,The Trigger: Hunting the Assassin Who Brought the World to War,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1388535774i/18300212.jpg,"On a summer morning in Sarajevo a hundred years ago, a teenage assassin named Gavrilo Princip fired not just the opening shots of the First World War but the starting gun for modern history, when he killed Archduke Franz Ferdinand. Yet the events Princip triggered were so monumental that his own story has been largely overlooked, his role garbled and motivations misrepresented.<br /><br /><i>The Trigger</i> puts this right, filling out as never before a figure who changed our world and whose legacy still has an impact on all of us today. Born a penniless backwoodsman, Princip’s life changed when he trekked through Bosnia and Serbia to attend school. As he ventured across fault lines of faith, nationalism and empire, so tightly clustered in the Balkans, radicalisation slowly transformed him from a frail farm boy into history’s most influential assassin.<br /><br />By retracing Princip’s journey from his highland birthplace, through the mythical valleys of Bosnia to the fortress city of Belgrade and ultimately Sarajevo, Tim Butcher illuminates our understanding both of Princip and the places that shaped him. Tim uncovers details about Princip that have eluded historians for a century and draws on his own experience, as a war reporter in the Balkans in the 1990s, to face down ghosts of conflicts past and present.<br /><br /><i>The Trigger</i> is a rich and timely work that brings to life both the moment the world first went to war and an extraordinary region with a potent hold over history.",,352,"January 1, 2014",Military History
16884,The Making of the Atomic Bomb,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1440621221i/16884.jpg,"Here for the first time, in rich, human, political, and scientific detail, is the complete story of how the bomb was developed, from the turn-of-the-century discovery of the vast energy locked inside the atom to the dropping of the first bombs on Japan.<br /><br />Few great discoveries have evolved so swiftly -- or have been so misunderstood. From the theoretical discussions of nuclear energy to the bright glare of Trinity there was a span of hardly more than twenty-five years. What began as merely an interesting speculative problem in physics grew into the Manhattan Project, and then into the Bomb with frightening rapidity, while scientists known only to their peers -- Szilard, Teller, Oppenheimer, Bohr, Meitner, Fermi, Lawrence, and yon Neumann -- stepped from their ivory towers into the limelight.<br /><br />Richard Rhodes takes us on that journey step by step, minute by minute, and gives us the definitive story of man's most awesome discovery and invention.",,886,"August 1, 1995",Science/Technology
771332,With the Old Breed: At Peleliu and Okinawa,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1297640051i/771332.jpg,"In his own book, Wartime, Paul Fussell called With the Old Breed ""one of the finest memoirs to emerge from any war."" John Keegan referred to it in The Second World War as ""one of the most arresting documents in war literature."" And Studs Terkel was so fascinated with the story he interviewed its author for his book, ""The Good War."" What has made E.B. Sledge's memoir of his experience fighting in the South Pacific during World War II so devastatingly powerful is its sheer honest simplicity and compassion.<br /><p>Now including a new introduction by Paul Fussell, With the Old Breed presents a stirring, personal account of the vitality and bravery of the Marines in the battles at Peleliu and Okinawa. Born in Mobile, Alabama in 1923 and raised on riding, hunting, fishing, and a respect for history and legendary heroes such as George Washington and Daniel Boone, Eugene Bondurant Sledge (later called ""Sledgehammer"" by his Marine Corps buddies) joined the Marines the year after the bombing of Pearl Harbor and from 1943 to 1946 endured the events recorded in this book. In those years, he passed, often painfully, from innocence to experience.<br /><br /></p><p>Sledge enlisted out of patriotism, idealism, and youthful courage, but once he landed on the beach at Peleliu, it was purely a struggle for survival. Based on the notes he kept on slips of paper tucked secretly away in his New Testament, he simply and directly recalls those long months, mincing no words and sparing no pain. The reality of battle meant unbearable heat, deafening gunfire, unimaginable brutality and cruelty, the stench of death, and, above all, constant fear. Sledge still has nightmares about ""the bloody, muddy month of May on Okinawa."" But, as he also tellingly reveals, the bonds of friendship formed then will never be severed.<br /><br /></p><p>Sledge's honesty and compassion for the other marines, even complete strangers, sets him apart as a memoirist of war. Read as sobering history or as high adventure, With the Old Breed is a moving chronicle of action and courage.</p>",,326,"January 1, 1990",Military History
7968243,Cleopatra: A Life,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1294098301i/7968243.jpg,"<b>The Pulitzer Prize-winning biographer brings to life the most intriguing woman in the history of the world: Cleopatra, the last queen of Egypt.</b><br /><br />Her palace shimmered with onyx, garnets, and gold, but was richer still in political and sexual intrigue. Above all else, Cleopatra was a shrewd strategist and an ingenious negotiator.<br /><br />Though her life spanned fewer than forty years, it reshaped the contours of the ancient world. She was married twice, each time to a brother. She waged a brutal civil war against the first when both were teenagers. She poisoned the second. Ultimately she dispensed with an ambitious sister as well; incest and assassination were family specialties. Cleopatra appears to have had sex with only two men. They happen, however, to have been Julius Caesar and Mark Antony, among the most prominent Romans of the day. Both were married to other women. Cleopatra had a child with Caesar and–after his murder–three more with his protégé. Already she was the wealthiest ruler in the Mediterranean; the relationship with Antony confirmed her status as the most influential woman of the age. The two would together attempt to forge a new empire, in an alliance that spelled their ends. Cleopatra has lodged herself in our imaginations ever since.<br /><br />Famous long before she was notorious, Cleopatra has gone down in history for all the wrong reasons. Shakespeare and Shaw put words in her mouth. Michelangelo, Tiepolo, and Elizabeth Taylor put a face to her name. Along the way, Cleopatra’s supple personality and the drama of her circumstances have been lost. In a masterly return to the classical sources, Stacy Schiff here boldly separates fact from fiction to rescue the magnetic queen whose death ushered in a new world order. Rich in detail, epic in scope, Schiff ‘s is a luminous, deeply original reconstruction of a dazzling life.",,369,"November 1, 2010",Biography/Memoir
40929,The Rise of Theodore Roosevelt,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1586402749i/40929.jpg,"<b>Selected by <i>The Modern Library</i> as one of the 100 best nonfiction books of all time</b><br /><br />This classic biography is the story of seven men—a naturalist, a writer, a lover, a hunter, a ranchman, a soldier, and a politician—who merged at age forty-two to become the youngest President in history.<br /><br />The Rise of Theodore Roosevelt begins at the apex of his international prestige. That was on New Year’s Day, 1907, when TR, who had just won the Nobel Peace Prize, threw open the doors of the White House to the American people and shook 8,150 hands. One visitor remarked afterward, “You go to the White House, you shake hands with Roosevelt and hear him talk—and then you go home to wring the personality out of your clothes.”<br /><br />The rest of this book tells the story of TR’s irresistible rise to power. During the years 1858–1901, Theodore Roosevelt transformed himself from a frail, asthmatic boy into a full-blooded man. Fresh out of Harvard, he simultaneously published a distinguished work of naval history and became the fist-swinging leader of a Republican insurgency in the New York State Assembly. He chased thieves across the Badlands of North Dakota with a copy of Anna Karenina in one hand and a Winchester rifle in the other. Married to his childhood sweetheart in 1886, he became the country squire of Sagamore Hill on Long Island, a flamboyant civil service reformer in Washington, D.C., and a night-stalking police commissioner in New York City. As assistant secretary of the navy, he almost single-handedly brought about the Spanish-American War. After leading “Roosevelt’s Rough Riders” in the famous charge up San Juan Hill, Cuba, he returned home a military hero, and was rewarded with the governorship of New York. In what he called his “spare hours” he fathered six children and wrote fourteen books. By 1901, the man Senator Mark Hanna called “that damned cowboy” was vice president. Seven months later, an assassin’s bullet gave TR the national leadership he had always craved.<br /><br />His is a story so prodigal in its variety, so surprising in its turns of fate, that previous biographers have treated it as a series of haphazard episodes. This book, the only full study of TR’s pre-presidential years, shows that he was an inevitable chief executive. “It was as if he were subconsciously aware that he was a man of many selves,” the author writes, “and set about developing each one in turn, knowing that one day he would be President of all the people.”",,816,"November 1, 2001",Biography/Memoir
169354,"The Prize: The Epic Quest for Oil, Money, and Power",,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1403025725i/169354.jpg,"<i>The Prize</i> recounts the panoramic history of oil -- and the struggle for wealth and power that has always surrounded oil. This struggle has shaken the world economy, dictated the outcome of wars, and transformed the destiny of men and nations.<br /><br /><i>The Prize</i> is as much a history of the twentieth century as of the oil industry itself. The canvas of history is enormous -- from the drilling of the first well in Pennsylvania through two great world wars to the Iraqi invasion of Kuwait and Operation Desert Storm.",,928,"January 1, 1993",Business/Economics
767171,The Rise and Fall of the Third Reich: A History of Nazi Germany,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1331223772i/767171.jpg,"Hitler boasted that The Third Reich would last a thousand years. It lasted only 12. But those 12 years contained some of the most catastrophic events Western civilization has ever known.<p>No other powerful empire ever bequeathed such mountains of evidence about its birth and destruction as the Third Reich. When the bitter war was over, and before the Nazis could destroy their files, the Allied demand for unconditional surrender produced an almost hour-by-hour record of the nightmare empire built by Adolph Hitler. This record included the testimony of Nazi leaders and of concentration camp inmates, the diaries of officials, transcripts of secret conferences, army orders, private letters—all the vast paperwork behind Hitler's drive to conquer the world.</p><p>The famed foreign correspondent and historian William L. Shirer, who had watched and reported on the Nazis since 1925, spent five and a half years sifting through this massive documentation. The result is a monumental study that has been widely acclaimed as the definitive record of one of the most frightening chapters in the history of mankind.</p><p>This worldwide bestseller has been acclaimed as the definitive book on Nazi Germany; it is a classic work.</p><p>The accounts of how the United States got involved and how Hitler used Mussolini and Japan are astonishing, and the coverage of the war-from Germany's early successes to her eventual defeat-is must reading</p>",,1147,"November 15, 1990",Military History
51411855,Mary Edwards Walker: America's Only Female Medal of Honor Recipient,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1581995068i/51411855.jpg,"<b>In the history of America, only one woman has ever received the Medal of Honor: Dr. Mary Edwards Walker. </b><br /><br />However, Mary’s life was more than just a medal. Not only was Mary a leading suffragist, the first female surgeon to serve in the United States Army, and an advocate of women’s dress reform, she was a woman who put the lives of others before hers. She sacrificed her personal happiness, her comforts, and her reputation in order to fight for the ideals she believed in, both during and after her service in the American Civil War. Mary was a nonconformist in every way, refusing to bow down to society’s establishments. When society towered above her, demanding her to surrender, Mary planted herself like a tree and stood her ground. Mary’s life is a testament to the idea of selflessness. Today, many Americans stand on her shoulders.<br /><br />This book is more than a simple biography of Mary's life. Instead, this book seeks to understand the woman behind the medal. It seeks to discover the core of Mary's being and the inspirations that turned her into who she was. People may know Dr. Walker. The question is: <b>
  <i>who was Mary?</i>
</b>",,311,Invalid Date,Military History
17157,Marie Antoinette: The Journey,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1388200308i/17157.jpg,"Marie Antoinette's dramatic life-story continues to arouse mixed emotions. To many people, she is still 'la reine méchante', whose extravagance and frivolity helped to bring down the French monarchy; her indifference to popular suffering epitomised by the (apocryphal) words: 'let them eat cake'. Others are equally passionate in her defence: to them, she is a victim of misogyny.<br /><br />Antonia Fraser examines her influence over the king, Louis XVI, the accusations and sexual slurs made against her, her patronage of the arts which enhanced French cultural life, her imprisonment, the death threats made against her, rumours of lesbian affairs, her trial (during which her young son was forced to testify to sexual abuse by his mother) and her eventual execution by guillotine in 1793.",,512,"September 12, 2006",History
146274,Manhunt: The 12-Day Chase for Lincoln's Killer,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1344193262i/146274.jpg,"A fascinating tale of murder, intrigue, and betrayal. A gripping hour-by-hour account told through the eyes of the hunted and the hunters, this is history as you've never read it before.<br /><br />The murder of Abraham Lincoln set off the greatest manhunt in American history -- the pursuit and capture of John Wilkes Booth. From April 14 to April 26, 1865, the assassin led Union cavalry and detectives on a wild twelve-day chase through the streets of Washington, D.C., across the swamps of Maryland, and into the forests of Virginia, while the nation, still reeling from the just-ended Civil War, watched in horror and sadness. <br /><br />At the very center of this story is John Wilkes Booth, America's notorious villain. A Confederate sympathizer and a member of a celebrated acting family, Booth threw away his fame and wealth for a chance to avenge the South's defeat. For almost two weeks, he confounded the manhunters, slipping away from their every move and denying them the justice they sought. <br /><br />Based on rare archival materials, obscure trial transcripts, and Lincoln's own blood relics, <i>Manhunt</i> is a fully documented work and a fascinating tale of murder, intrigue, and betrayal. A gripping hour-by-hour account told through the eyes of the hunted and the hunters, this is history as you've never read it before.",,444,"February 6, 2007",Military History
1067,1776,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1306787560i/1067.jpg,"In this masterful book, David McCullough tells the intensely human story of those who marched with General George Washington in the year of the Declaration of Independence - when the whole American cause was riding on their success, without which all hope for independence would have been dashed and the noble ideals of the Declaration would have amounted to little more than words on paper.Based on extensive research in both American and British archives, 1776 is a powerful drama written with extraordinary narrative vitality. It is the story of Americans in the ranks, men of every shape, size, and color, farmers, schoolteachers, shoemakers, no-accounts, and mere boys turned soldiers. And it is the story of the King's men, the British commander, William Howe, an his highly disciplined redcoats who looked on their rebel foes with contempt and fought with a valor too little known.At the center of the drama, with Washington, are two young American patriots, who, at first, knew no more of war than what they had read in books - Nathaniel Green, a Quaker who was made a general at thirty-three, and Henry Knox, a twenty-five-year-old bookseller who had the preposterous idea of hauling the guns of Fort Ticonderoga overland to Boston in the dead of Winter.But it is the American commander-in-chief who stands foremost - Washington, who had never before led an army in battle. Written as a companion work to his celebrated biography of John Adams, David McCullough's 1776 is another landmark in the literature of American history.",,386,"June 27, 2006",History
